freq,ipc,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
A,HT,P_MACT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.973 	0.896 	0.964 	1.464 	1.244 	2.259 	2.723 	2.845 	3.389 	3.164 	4.791 	2.892 	2.97 	5.051 	3.907 	4.221 p
A,HT,P_MACT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.3 	31.305 	34.326 	39.161 	53.428 	66.014 	79.165 	92.9 	105.598 	105.519 	101.894 	92.374 	92.175 	82.905 	79.273 	82.265 	77.939 	74.431 	74.175 	73.756 	70.548 	54.45 p
A,HT,P_MACT,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.349 	30.342 	30.592 	38.584 	44.224 	55.47 	80.833 	86.52 	97.57 	88.661 	89.889 	100.43 	95.876 	89.789 	83.05 	84.11 	82.823 	72.777 	78.238 	90.264 	79.428 	79.003 p
A,HT,P_MACT,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.309 	49.022 	58.77 	63.762 	67.4 	63.45 	57.99 	57.696 	54.864 	53.185 	52.506 	50.338 	49.687 	48.084 	49.054 	48.073 	38.563 p
A,HT,P_MACT,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.428 	58.088 	63.037 	66.652 	62.754 	57.369 	57.099 	54.318 	52.685 	52.021 	49.894 	49.241 	47.638 	48.637 	47.731 	38.242 p
A,HT,P_MACT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.594 	2.673 	0.248 	6.151 	1.956 	12.041 	2.986 	7.273 	17.213 	20.752 	25.151 	22.879 	19.627 	20.874 	7.931 	12.233 p
A,HT,P_MACT,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.081 	0.532 	0.822 	1.107 	0.638 	1.493 	1.29 	2.114 	2.664 	2.761 	4.147 	4.741 	3.029 	3.077 	2.806 	2.597 	2.885 	2.319 	1.507 	2.279 	3.26 	2.378 p
A,HT,P_MACT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.718 	1.822 	2.954 	2.353 	3.583 	3.971 	5.098 	6.861 	7.599 	8.719 	7.631 	7.133 	7.295 	8.497 	9.587 	9.966 	11.243 	12.116 	11.873 	12.372 	12.479 	11.644 p
A,HT,P_MACT,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.452 	47.765 	47.601 	45.614 	44.746 	44.539 	42.546 	41.684 	40.702 	41.559 	41.74 	33.067 p
A,HT,P_MACT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.021 	53.386 	80.378 	89.506 	122.142 	156.076 	177.403 	257.373 	247.901 	249.916 	238.217 	236.5 	265.455 	234.562 	215.2 	179.45 	165.248 	149.13 	159.138 	141.724 	171.703 	116.901 p
A,HT,P_MACT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.538 	33.499 	38.233 	36.081 	40.1 	51.239 	60.858 	71.654 	70.268 	74.213 	72.45 	72.012 	69.668 	68.967 	69.55 	71.465 	70.37 	74.019 	72.865 	73.217 	72.251 	59.107 p
A,HT,P_MACT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.947 	0.374 	0.769 	1.01 	3.997 	2.894 	4.22 	0.775 	1.307 	0.356 	0.268 	1.776 p
A,HT,P_MACT,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.292 	1.812 	2.716 	6.753 	8.453 	7.155 	3.949 	6.394 	7.079 	5.4 	10.277 	9.295 	10.954 	9.075 	12.202 	15.633 	12.36 	9.836 p
A,HT,P_MACT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.548 	6.545 	11.424 	13.969 	13.4 	18.428 	28.788 	39.264 	34.531 	45.908 	36.687 	28.657 	31.758 	29.373 	38.346 	33.499 	39.442 	31.111 	44.476 	54.742 	39.228 	40.316 p
A,HT,P_MACT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81.983 	24.546 	35.061 	30.689 	83.519 	63.158 	18.806 	20.915 	28.011 	7.447 	3.277 p
A,HT,P_MACT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.189 	11.641 	11.364 	13.377 	14.204 	16.564 	16.485 	20.253 	18.148 	21.728 	21.374 	20.161 	23.511 	20.093 	18.417 	18.601 	18.466 	16.256 	16.13 	15.222 	11.917 p
A,HT,P_MACT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.75 	1.21 	0.853 	0.203 	1.02 	0.966 	1.15 	1.978 	2.197 	3.874 	3.272 	1.317 	4.387 	10.947 	3.617 p
A,HT,P_MACT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.829 	5.907 	: 	2.931 	28.802 	31.367 	16.556 	40.388 	40.984 	19.201 	30.37 	57.648 	29.542 	83.398 	30.86 	24.425 	16.732 	24.773 	18.832 	28.055 	21.009 p
A,HT,P_MACT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.177 	0.799 	0.542 	2.015 	0.23 	: 	1.85 	0.451 	2.959 	2.624 	0.227 	1.657 	0.973 	7.355 	15.778 p
A,HT,P_MACT,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.266 	: 	: 	6.234 	8.621 	1.987 	11.862 	3.914 	: 	: 	: 	5.33 p
A,HT,P_MACT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.952 	47.865 	50.119 	61.918 	78.46 	93.995 	109.61 	133.374 	167.011 	211.409 	156.997 	123.302 	126.019 	111.51 	103.987 	86.449 	90.792 	91.417 	76.709 	86.669 	80.043 	64.406 p
A,HT,P_MACT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.379 	30.929 	36.524 	31.553 	31.704 	34.49 	31.434 	24.578 	25.651 	29.808 	26.039 	26.179 	31.076 	22.547 p
A,HT,P_MACT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.22 	0.16 	0.231 	0.259 	0.531 	0.666 	0.855 	1.224 	1.344 	1.373 	2.328 	1.995 	2.547 	3.759 	3.48 	3.441 	5.059 p
A,HT,P_MACT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.265 	0.442 	0.1 	0.3 	0.46 	0.718 	0.518 	1.383 	0.805 	1.667 	0.812 	2.097 	1.667 	6.556 	4.374 	6.554 	5.152 	3.425 	2.954 	4.092 	2.841 	3.056 p
A,HT,P_MACT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.328 	0.042 	0.058 	0.173 	0.35 	0.24 	0.252 	0.301 	0.596 	0.59 	1.62 	1.377 	1.52 	0.766 	1.287 	1.724 	1.546 p
A,HT,P_MACT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.158 	31.411 	52.589 	68.254 	78.213 	111.845 	119.267 	141.97 	145.715 	113.352 	105.512 	107.155 	115.087 	116.723 	147.462 	164.798 	156.894 	139.05 	145.227 	146.011 	176.147 	96.039 p
A,HT,P_MACT,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.143 	3.192 	9.852 	2.277 	4.423 	7.948 	12.66 	6.939 	2.98 	3.84 	5.587 	17.393 	15.31 	16.118 	8.949 	12.586 	10.113 	9.15 p
A,HT,P_MACT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.728 	1.799 	0.534 	1.744 	3.21 	1.615 	1.163 	0.976 	2.614 	1.573 	3.163 	1.563 	1.59 	3.267 	2.804 	2.007 p
A,HT,P_MACT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.093 	1.609 	1.172 	1.327 	1.727 	1.27 	1.532 	1.011 p
A,HT,P_MACT,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.414 	24.608 	29.598 	31.182 	36.618 	40.3 	51.016 	59.814 	66.122 	61.026 	54.831 	49.61 	48.193 	46.606 	42.675 	40.664 	37.025 	37.756 	35.124 	34.604 	36.882 	31.09 p
A,HT,P_MHAB,AT	0.795 	1.523 	1.86 	3.404 	4.504 	4.788 	4.713 	4.952 	5.385 	6.14 	6.941 	7.142 	7.198 	6.884 	9.619 	9.554 	9.795 	11.032 	13.012 	19.098 	18.701 	24.036 	27.71 	29.908 	24.436 	29.387 	37.061 	36.488 	22.726 	26.098 	22.636 	26.205 	27.591 	20.282 p
A,HT,P_MHAB,AU	1.077 	1.709 	1.52 	2.046 	3.089 	2.889 	3.158 	4.15 	3.652 	2.846 	3.501 	3.959 	5.132 	4.356 	6.049 	7.754 	5.257 	9.693 	10.664 	19.753 	17.836 	17.047 	16.78 	15.453 	15.437 	14.132 	11.72 	12.33 	10.075 	10.411 	7.052 	7.961 	8.851 	5.98 p
A,HT,P_MHAB,BE	2.185 	1.267 	2.266 	2.891 	3.997 	4.098 	4.123 	5.15 	6.65 	5.321 	8.166 	9.26 	9.963 	12.91 	12.429 	16.354 	13.823 	20.738 	25.034 	32.476 	26.584 	28.838 	35.603 	28.577 	32.931 	34.103 	32.112 	33.865 	30.438 	28.263 	26.323 	29.022 	32.55 	28.806 p
A,HT,P_MHAB,BG	0.113 	: 	0.112 	: 	: 	0.111 	: 	: 	0.334 	0.111 	0.114 	: 	0.038 	0.133 	: 	0.119 	0.039 	0.12 	0.193 	0.062 	0.173 	0.36 	0.191 	0.352 	0.265 	0.802 	1.055 	0.231 	0.509 	0.446 	0.067 	0.305 	0.853 	0.426 p
A,HT,P_MHAB,BR	0.008 	0.016 	0.001 	: 	0.015 	0.019 	0.004 	0.028 	0.018 	0.024 	0.039 	0.002 	0.011 	0.017 	0.02 	0.029 	0.019 	0.07 	0.049 	0.027 	0.071 	0.079 	0.112 	0.119 	0.164 	0.094 	0.115 	0.142 	0.199 	0.139 	0.107 	0.135 	0.174 	: 
A,HT,P_MHAB,CA	1.183 	1.415 	1.893 	1.754 	2.219 	2.931 	2.339 	2.849 	2.718 	3.52 	3.332 	3.458 	3.393 	4.86 	6.521 	8.217 	9.421 	13.13 	16.05 	18.652 	19.952 	21.719 	22.063 	23.959 	30.717 	34.933 	31.686 	30.25 	27.393 	27.485 	29.615 	29.554 	26.887 	: 
A,HT,P_MHAB,CH	10.193 	12.568 	12.685 	11.746 	20.057 	17.685 	19.826 	19.389 	24.965 	23.683 	19.25 	22.453 	24.8 	20.696 	27.163 	24.414 	28.721 	39.154 	42.534 	55.338 	67.723 	69.569 	60.623 	51.773 	59.074 	56.543 	51.517 	52.131 	51.059 	46.314 	48.77 	45.351 	46.461 	40.29 p
A,HT,P_MHAB,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.746 	: 	: 	: 	: 	: 	: 	1.501 	: 	0.527 	0.724 	6.207 	2.835 	3.895 	: 	0.628 	0.444 	3.958 	1.288 	5.019 	1.221 	: 	1.16 	2.31 p
A,HT,P_MHAB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.347 	0.097 	0.065 	0.135 	0.116 	0.3 	0.487 	0.45 	0.482 	0.73 	0.622 	1.13 	1.366 	1.443 	1.723 	1.604 	2.424 	1.467 	1.496 	2.516 	1.955 	2.13 p
A,HT,P_MHAB,DE	10.199 	10.325 	10.65 	12.268 	13.878 	15.107 	16.17 	18.387 	18.432 	20.274 	19.507 	14.602 	15.227 	15.13 	16.523 	18.713 	25.501 	31.496 	37.923 	44.897 	50.869 	50.837 	49.025 	44.471 	44.638 	41.068 	39.691 	41.437 	39.396 	37.731 	37.684 	37.158 	35.643 	27.692 p
A,HT,P_MHAB,DK	1.4 	1.776 	2.573 	4.04 	2.682 	7.703 	5.576 	6.355 	8.28 	10.852 	11.841 	13.825 	12.935 	16.556 	16.212 	20.555 	23.571 	29.546 	42.915 	46.36 	51.91 	47.521 	47.793 	53.389 	51.474 	47.988 	44.667 	45.002 	44.688 	38.921 	41.339 	47.468 	41.381 	40.751 p
A,HT,P_MHAB,EA18	3.77 	3.864 	4.361 	4.874 	5.434 	6.062 	6.775 	7.47 	8.309 	8.918 	8.998 	8.981 	9.462 	9.637 	10.904 	11.809 	14.738 	18.316 	21.787 	26.38 	28.805 	30.616 	29.022 	26.796 	26.793 	25.711 	25.095 	24.906 	23.987 	23.626 	22.814 	23.124 	22.778 	18.261 p
A,HT,P_MHAB,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.874 	9.349 	9.523 	10.777 	11.672 	14.571 	18.109 	21.543 	26.097 	28.495 	30.288 	28.713 	26.518 	26.518 	25.453 	24.854 	24.671 	23.773 	23.416 	22.606 	22.933 	22.623 	18.116 p
A,HT,P_MHAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.322 	0.443 	0.088 	0.691 	: 	0.235 	1.242 	1.269 	0.121 	2.994 	0.94 	5.89 	1.464 	3.584 	8.825 	10.648 	13.038 	11.769 	10.035 	10.807 	4.09 	6.302 p
A,HT,P_MHAB,EL	: 	0.021 	0.051 	0.102 	0.101 	0.05 	0.302 	0.25 	0.075 	: 	0.363 	0.462 	0.418 	0.208 	0.326 	0.443 	0.258 	0.604 	0.545 	0.901 	1.139 	1.195 	1.807 	2.091 	1.359 	1.385 	1.269 	1.173 	1.304 	1.054 	0.682 	1.011 	1.438 	1.047 p
A,HT,P_MHAB,ES	0.063 	: 	0.119 	0.105 	0.227 	0.156 	0.238 	0.246 	0.414 	0.55 	0.541 	0.753 	0.679 	0.723 	1.179 	0.944 	1.459 	1.643 	2.139 	2.93 	3.34 	3.888 	3.526 	3.367 	3.494 	4.149 	4.745 	4.99 	5.678 	6.095 	5.967 	6.213 	6.249 	5.779 p
A,HT,P_MHAB,EU28	2.909 	3.216 	3.645 	4.226 	4.643 	5.143 	5.762 	6.227 	6.923 	7.549 	7.596 	7.393 	7.988 	8.164 	9.472 	10.339 	12.696 	15.63 	18.759 	22.6 	24.656 	25.255 	23.833 	22.217 	22.243 	21.482 	21.224 	21.215 	20.378 	19.951 	19.4 	19.717 	19.903 	15.775 p
A,HT,P_MHAB,FI	0.629 	1.462 	1.662 	0.62 	2.259 	1.43 	2.173 	4.432 	5.599 	9.646 	12.458 	17.771 	25.397 	26.23 	39.075 	43.695 	59.693 	75.679 	86.586 	127.623 	124.135 	125.645 	119.665 	118.094 	131.89 	117.393 	108.428 	90.963 	84.266 	74.981 	79.45 	70.724 	85.513 	57.65 p
A,HT,P_MHAB,FR	6.203 	6.304 	7.268 	7.32 	8.173 	9.018 	10.404 	10.423 	13.496 	13.751 	14.34 	14.146 	13.897 	13.877 	15.836 	15.004 	16.721 	21.364 	25.446 	30.247 	29.755 	31.483 	30.802 	31.479 	30.496 	30.172 	30.394 	31.277 	30.836 	32.549 	32.016 	32.028 	31.713 	25.944 p
A,HT,P_MHAB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.394 	0.268 	0.218 	0.044 	0.441 	0.294 	0.073 	0.389 	0.813 	0.156 	0.325 	0.425 	1.67 	1.291 	1.895 	0.348 	0.581 	0.156 	0.117 	0.767 p
A,HT,P_MHAB,HU	0.654 	0.747 	1.214 	0.95 	1.124 	0.469 	0.282 	0.847 	0.472 	0.387 	0.581 	0.308 	0.533 	0.644 	0.772 	0.503 	0.499 	0.696 	1.062 	2.681 	3.378 	2.873 	1.591 	2.624 	2.906 	2.248 	4.33 	3.891 	4.552 	3.768 	5.12 	6.614 	5.351 	4.302 p
A,HT,P_MHAB,IE	: 	: 	0.576 	0.572 	0.568 	1.27 	2.066 	1.221 	2.357 	2.512 	3.39 	4.411 	4.445 	2.544 	4.543 	5.64 	5.55 	7.863 	12.826 	18.031 	16.159 	21.762 	17.496 	13.715 	15.394 	14.588 	19.505 	17.352 	20.122 	15.338 	21.361 	25.938 	18.439 	18.998 p
A,HT,P_MHAB,IL	0.601 	0.633 	3.3 	3.977 	4.448 	4.64 	6.827 	6.443 	7.803 	9.001 	11.148 	14.219 	18.64 	17.442 	20.962 	21.984 	28.051 	38.379 	54.025 	62.64 	79.838 	65.855 	49.752 	60.085 	65.731 	66.078 	64.087 	56.327 	57.026 	46.121 	50.639 	48.276 	56.837 	37.087 p
A,HT,P_MHAB,IN	: 	: 	: 	0.002 	0.001 	0.002 	0.003 	0.001 	0.008 	0.005 	0.009 	0.004 	0.003 	0.007 	0.006 	0.004 	0.011 	0.014 	0.024 	0.024 	0.037 	0.055 	0.072 	0.114 	0.123 	0.11 	0.11 	0.107 	0.105 	0.162 	0.21 	0.248 	0.253 	0.2 p
A,HT,P_MHAB,IS	: 	: 	: 	5.647 	: 	1.372 	: 	: 	0.808 	6.748 	3.94 	: 	3.85 	11.738 	14.148 	6.255 	13.062 	19.268 	28.746 	74.172 	42.215 	29.185 	34.895 	45.585 	13.491 	19.586 	17.673 	48.753 	36.518 	10.552 	11.806 	15.701 	4.162 	1.864 p
A,HT,P_MHAB,IT	1.029 	1.036 	0.828 	1.665 	1.402 	1.93 	2.332 	2.537 	2.858 	3.03 	3.415 	2.955 	3.518 	4.085 	4.638 	4.526 	5.353 	5.706 	6.729 	6.745 	8.357 	7.547 	9.108 	9.018 	8.523 	9.865 	8.448 	7.71 	7.851 	7.701 	6.751 	6.7 	6.473 	5.043 p
A,HT,P_MHAB,JP	4.923 	6.653 	8.871 	10.09 	13.255 	14.056 	14.689 	20.682 	24.123 	30.423 	34.023 	30.156 	26.634 	27.869 	27.392 	30.709 	37.251 	41.184 	44.177 	51.728 	60.968 	55.993 	60.421 	62.548 	62.427 	55.698 	53.981 	49.888 	46.586 	47.425 	48.185 	46.665 	43.872 	31.821 p
A,HT,P_MHAB,KR	: 	: 	: 	: 	0.012 	0.003 	0.073 	0.066 	0.131 	0.363 	1.162 	1.297 	2.34 	2.493 	2.871 	3.886 	4.359 	7.238 	10.088 	9.796 	11.678 	15.622 	23.653 	35.614 	44.773 	47.64 	50.501 	43.306 	36.579 	46.135 	52.017 	48.022 	53.207 	47.986 p
A,HT,P_MHAB,LI	: 	59.488 	: 	: 	: 	18.741 	: 	72.995 	172.115 	35.485 	105.441 	23.078 	8.507 	66.961 	: 	16.324 	16.169 	32.11 	53.321 	78.088 	61.679 	93.722 	54.586 	59.062 	29.16 	202.312 	33.52 	85.305 	84.851 	72.213 	99.738 	55.327 	13.708 	393.615 p
A,HT,P_MHAB,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.027 	: 	0.138 	0.092 	: 	0.848 	0.578 	0.401 	0.096 	0.487 	0.453 	0.536 	0.912 	1.025 	1.827 	1.57 	0.637 	2.129 	5.367 	1.783 p
A,HT,P_MHAB,LU	2.751 	: 	2.735 	4.105 	: 	2.731 	: 	: 	5.645 	: 	: 	: 	: 	0.355 	2.499 	: 	1.215 	11.995 	13.103 	7.02 	17.297 	17.654 	8.332 	13.183 	25.101 	13.009 	36.411 	13.713 	10.748 	7.761 	11.413 	8.694 	13.299 	9.925 p
A,HT,P_MHAB,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.095 	: 	: 	0.16 	: 	: 	: 	0.083 	0.369 	0.255 	0.948 	0.109 	: 	0.889 	0.224 	1.508 	1.369 	0.116 	0.825 	0.482 	3.707 	7.906 p
A,HT,P_MHAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.493 	: 	: 	: 	0.244 	: 	: 	: 	: 	: 
A,HT,P_MHAB,MT	: 	: 	: 	: 	: 	3.012 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.534 	: 	: 	2.483 	3.457 	0.814 	4.904 	1.63 	: 	: 	: 	2.373 p
A,HT,P_MHAB,MX	: 	0.005 	: 	: 	0.004 	0.01 	0.033 	: 	0.023 	0.007 	0.033 	0.016 	0.012 	0.008 	0.028 	0.055 	0.043 	0.029 	0.054 	0.058 	0.056 	0.107 	0.047 	0.074 	0.071 	0.02 	0.061 	0.045 	0.055 	0.057 	0.07 	0.085 	0.05 	0.06 p
A,HT,P_MHAB,NL	4.554 	5.889 	10.57 	10.077 	10.728 	13.468 	16.253 	19.021 	20.666 	22.361 	18.826 	20.42 	22.405 	22.387 	23.73 	29.969 	38.571 	47.127 	55.396 	67.996 	85.948 	109.971 	82.554 	64.853 	66.442 	58.81 	55.26 	46.603 	49.314 	49.78 	40.751 	45.404 	42.393 	34.284 p
A,HT,P_MHAB,NO	0.306 	0.733 	1.237 	0.323 	0.926 	0.757 	1.844 	1.772 	2.382 	4.021 	2.291 	2.664 	4.018 	3.373 	2.738 	6.094 	6.172 	11.94 	13.163 	14.746 	18.417 	16.112 	19.076 	16.341 	16.404 	17.903 	16.512 	13.112 	13.966 	16.032 	13.902 	13.952 	16.647 	12.037 p
A,HT,P_MHAB,NZ	: 	0.628 	: 	1.439 	0.204 	0.303 	0.302 	0.601 	1.196 	1.587 	0.442 	0.953 	2.152 	2.077 	2.367 	1.663 	5.046 	4.784 	6.522 	7.731 	6.665 	8.561 	10.244 	13.679 	8.854 	8.597 	7.253 	10.1 	8.824 	7.486 	7.376 	4.688 	9.067 	4.219 p
A,HT,P_MHAB,PL	: 	0.003 	0.028 	: 	0.054 	0.04 	0.054 	0.027 	0.079 	0.026 	0.022 	0.012 	0.041 	0.05 	0.071 	0.052 	0.064 	0.097 	0.071 	0.104 	0.117 	0.241 	0.3 	0.379 	0.545 	0.603 	0.608 	1.027 	0.888 	1.151 	1.693 	1.574 	1.568 	2.307 p
A,HT,P_MHAB,PT	0.103 	: 	: 	: 	: 	0.02 	0.033 	0.02 	0.05 	0.04 	0.092 	0.251 	0.131 	0.218 	0.05 	0.15 	0.232 	0.367 	0.263 	0.705 	0.415 	0.868 	0.427 	1.102 	0.872 	3.447 	2.312 	3.478 	2.729 	1.797 	1.549 	2.101 	1.45 	1.54 p
A,HT,P_MHAB,RO	: 	: 	: 	: 	0.044 	: 	: 	: 	: 	: 	0.086 	0.043 	: 	: 	0.088 	: 	: 	0.168 	0.021 	0.03 	0.089 	0.178 	0.115 	0.116 	0.138 	0.274 	0.278 	0.766 	0.662 	0.734 	0.353 	0.585 	0.792 	0.711 p
A,HT,P_MHAB,RU	: 	: 	: 	: 	: 	: 	: 	: 	0.007 	0.02 	: 	0.048 	0.104 	0.139 	0.142 	0.21 	0.227 	0.181 	0.375 	0.37 	0.356 	0.422 	0.302 	0.494 	0.366 	0.444 	0.467 	0.301 	0.344 	0.362 	0.512 	0.727 	0.659 	0.615 p
A,HT,P_MHAB,SE	5.128 	6.732 	7.289 	8.281 	7.883 	7.222 	9.123 	9.212 	8.299 	12.198 	11.38 	11.579 	18.972 	16.048 	26.559 	34.482 	39.536 	56.123 	59.597 	71.337 	73.89 	58.548 	54.489 	55.378 	59.447 	61.057 	77.672 	87.495 	83.679 	73.73 	76.937 	77.791 	93.993 	51.412 p
A,HT,P_MHAB,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.501 	0.501 	0.5 	0.375 	2.342 	2.599 	2.327 	1.005 	1.535 	4.801 	1.097 	2.148 	3.899 	6.163 	3.343 	1.503 	1.952 	2.85 	8.954 	7.934 	8.261 	4.553 	6.258 	4.987 	4.478 p
A,HT,P_MHAB,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.127 	: 	0.287 	0.187 	: 	0.232 	0.34 	0.849 	0.256 	0.851 	1.556 	0.787 	0.573 	0.48 	1.292 	0.776 	1.581 	0.78 	0.798 	1.623 	1.404 	1.007 p
A,HT,P_MHAB,TR	: 	: 	: 	: 	0.01 	: 	: 	0.019 	: 	: 	0.002 	0.009 	: 	0.01 	0.008 	: 	0.057 	0.034 	0.07 	0.042 	0.07 	0.005 	0.079 	0.156 	0.105 	0.122 	0.356 	0.526 	0.39 	0.452 	0.603 	0.455 	0.554 	0.374 p
A,HT,P_MHAB,UK	2.975 	4.727 	5.385 	7.291 	7.898 	8.499 	9.81 	9.823 	11.089 	12.323 	12.174 	10.409 	11.586 	12.118 	14.521 	15.304 	18.032 	19.915 	25.288 	29.904 	32.529 	30.075 	27.131 	24.627 	23.991 	23.316 	21.598 	20.564 	18.808 	19.125 	17.747 	17.483 	18.663 	15.759 p
A,HT,P_MHAB,US	5.135 	6.228 	7.831 	8.696 	10.043 	10.985 	11.786 	13.09 	15.282 	17.49 	19.113 	18.664 	19.23 	20.759 	23.584 	26.034 	28.793 	32.815 	37.467 	42.665 	44.116 	42.474 	41.945 	42.737 	40.298 	38.38 	34.81 	31.622 	29.329 	27.824 	28.759 	31.059 	32.628 	27.64 p
A,HT,P_MHAB,ZA	0.034 	0.034 	0.098 	0.096 	0.047 	0.091 	0.059 	: 	0.086 	0.083 	0.068 	0.179 	0.367 	0.107 	0.164 	0.314 	0.075 	0.532 	0.57 	0.537 	0.515 	0.317 	0.434 	0.664 	0.302 	0.367 	0.476 	0.341 	0.467 	0.29 	0.315 	0.275 	0.324 	: 
A,LSR,NR,AT	1 	0.5 	: 	: 	: 	: 	: 	: 	: 	: 	3 	1 	2 	1 	: 	2 	1 	1 	0.5 	7.5 	3.67 	2.75 	2.8 	7.33 	3 	1 	3 	5.5 	3 	5.75 	2 	4.25 	2 	2.5 p
A,LSR,NR,AU	2 	2 	2 	1 	1 	2.25 	6 	1 	4.5 	1 	: 	2 	: 	2.33 	: 	4 	1 	1.17 	5.2 	1 	4.58 	3 	3.8 	: 	2.2 	3.25 	5 	0.25 	2 	1.5 	2 	0.8 	2 	1.2 p
A,LSR,NR,BE	: 	1 	: 	: 	: 	0.5 	: 	1 	1 	: 	1 	: 	2 	1.83 	: 	1 	1 	2 	2.73 	5.33 	1 	5.17 	1.07 	1 	0.78 	5.5 	4.25 	: 	0.33 	1 	3.67 	2.43 	: 	1 p
A,LSR,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.25 	: 	0.33 	: 	: 	: 	: 	: 	: 	: 	: 
A,LSR,NR,BR	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	0.5 	: 	: 	0.2 	0.33 	: 	: 	: 	: 	1.83 	: 	1 	: 	: 	: 	1 	: 	: 	: 	: 	1 p
